Time,Time Code,Country Name,Country Code,Adequacy of social insurance programs (% of total welfare of beneficiary households) [per_si_allsi.adq_pop_tot],Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD],"Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Literacy rate, youth (ages 15-24), gender parity index (GPI) [SE.ADT.1524.LT.FM.ZS]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, tertiary (gross), gender parity index (GPI) [SE.ENR.TERT.FM.ZS]"
1990,YR1990,Belize,BLZ,..,4878.61984731449,..,..,..,4.698,6292.17925681257,..,70.744,..,38.4,0.2,..,..
1990,YR1990,Benin,BEN,..,614.016359207805,..,..,..,6.732,2109.55920513579,..,53.292,..,172.7,0.5,..,..
1990,YR1990,Bermuda,BMU,..,..,..,..,..,1.687,65961.4062780667,..,74.5,..,..,..,..,..
1990,YR1990,Bhutan,BTN,..,591.335092222157,..,..,..,5.604,2895.53488844178,..,55.968,..,126.7,0.1,..,..
1990,YR1990,Bolivia,BOL,..,1474.93084616808,..,..,..,4.89,4437.86683057006,5.6,56.422,..,121.5,0.1,..,..
1990,YR1990,Bosnia and Herzegovina,BIH,..,..,..,..,..,1.794,..,..,72.349,..,18.1,..,..,..
1990,YR1990,Botswana,BWA,..,2377.93046507281,..,..,..,4.487,9164.75697457096,..,60.533,..,45.3,6.4,1.05165994167328,..
1990,YR1990,British Virgin Islands,VGB,..,..,..,..,..,1.585,..,..,73.927,..,19.1,..,0.987529993057251,..
1990,YR1990,Brunei Darussalam,BRN,..,17322.6917241398,..,..,..,3.29,70358.7240942878,..,71.656,..,13.3,..,..,..
1990,YR1990,Bulgaria,BGR,..,..,..,..,..,1.82,12508.2355984868,..,71.6414634146342,..,18.4,0.1,0.99167001247406,1.14193999767303
1990,YR1990,Burkina Faso,BFA,..,323.564438726864,..,..,..,7.009,981.844761883421,..,49.44,..,199.1,2.7,..,0.294470012187958
1990,YR1990,Burundi,BDI,..,..,..,..,..,7.365,1175.15508588164,..,44.86,0.806940019130707,170.3,4.2,0.781930029392242,0.417869985103607
1990,YR1990,Cabo Verde,CPV,..,..,..,..,..,5.392,1816.02474316339,..,65.023,0.960709989070892,60.4,0.4,0.995090007781982,..
1990,YR1990,Cambodia,KHM,..,..,..,..,..,5.644,..,..,55.434,..,116.3,0.1,..,..
1990,YR1990,Cameroon,CMR,..,839.880343298445,..,..,..,6.392,3483.1868621115,..,54.868,..,136.2,0.8,0.822260022163391,..
1990,YR1990,Canada,CAN,..,24683.1066213806,..,..,..,1.83,34544.6254972758,7.3,77.4365853658537,..,8.2,..,1.00022995471954,1.18557000160217
1990,YR1990,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1990,YR1990,Central African Republic,CAF,..,..,..,..,..,6.045,1200.61339024031,..,49.635,..,177.4,4,0.596660017967224,0.179490000009537
1990,YR1990,Chad,TCD,..,..,..,..,..,7.219,1027.24442257679,..,44.686,..,212,1.1,0.414909988641739,..
1990,YR1990,Channel Islands,CHI,..,..,..,..,..,1.509,..,..,77.185,..,..,..,..,..
1990,YR1990,Chile,CHL,..,3209.40266489556,..,..,..,2.579,9701.82381516257,3.4,72.574,..,19.1,0.1,1.00768005847931,..
1990,YR1990,Colombia,COL,..,2769.46109601041,66.1,..,..,3.082,8434.9569666236,..,68.644,..,35.6,0.1,..,..
1990,YR1990,Comoros,COM,..,1083.22868903734,..,..,..,6.497,2922.71225211885,..,55.84,..,126.5,0.1,..,0.159740000963211
1990,YR1990,"Congo, Dem. Rep.",COD,..,..,..,..,..,6.702,1750.16973861537,..,48.601,..,186.3,1.8,..,..
1990,YR1990,"Congo, Rep.",COG,..,449.51839496864,..,..,..,5.214,5080.05188941973,..,55.926,..,91.2,4.3,0.87975001335144,0.190170004963875
