"time","country","country_code","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
1990,"Bosnia and Herzegovina","BIH",NA,NA,NA,NA,NA,1.794,NA,NA,72.349,NA,18.1,NA,NA,NA
1990,"Botswana","BWA",NA,2377.93046507281,NA,NA,NA,4.487,9164.75697457096,NA,60.533,NA,45.3,6.4,1.05165994167328,NA
1990,"British Virgin Islands","VGB",NA,NA,NA,NA,NA,1.585,NA,NA,73.927,NA,19.1,NA,0.987529993057251,NA
1990,"Brunei Darussalam","BRN",NA,17322.6917241398,NA,NA,NA,3.29,70358.7240942878,NA,71.656,NA,13.3,NA,NA,NA
1990,"Bulgaria","BGR",NA,NA,NA,NA,NA,1.82,12508.2355984868,NA,71.6414634146342,NA,18.4,0.1,0.99167001247406,1.14193999767303
1990,"Burkina Faso","BFA",NA,323.564438726864,NA,NA,NA,7.009,981.844761883421,NA,49.44,NA,199.1,2.7,NA,0.294470012187958
1990,"Burundi","BDI",NA,NA,NA,NA,NA,7.365,1175.15508588164,NA,44.86,0.806940019130707,170.3,4.2,0.781930029392242,0.417869985103607
1990,"Cabo Verde","CPV",NA,NA,NA,NA,NA,5.392,1816.02474316339,NA,65.023,0.960709989070892,60.4,0.4,0.995090007781982,NA
1990,"Cambodia","KHM",NA,NA,NA,NA,NA,5.644,NA,NA,55.434,NA,116.3,0.1,NA,NA
1990,"Cameroon","CMR",NA,839.880343298445,NA,NA,NA,6.392,3483.1868621115,NA,54.868,NA,136.2,0.8,0.822260022163391,NA
1990,"Canada","CAN",NA,24683.1066213806,NA,NA,NA,1.83,34544.6254972758,7.3,77.4365853658537,NA,8.2,NA,1.00022995471954,1.18557000160217
1990,"Central African Republic","CAF",NA,NA,NA,NA,NA,6.045,1200.61339024031,NA,49.635,NA,177.4,4,0.596660017967224,0.179490000009537
1990,"Chad","TCD",NA,NA,NA,NA,NA,7.219,1027.24442257679,NA,44.686,NA,212,1.1,0.414909988641739,NA
1990,"Channel Islands","CHI",NA,NA,NA,NA,NA,1.509,NA,NA,77.185,NA,NA,NA,NA,NA
1990,"Chile","CHL",NA,3209.40266489556,NA,NA,NA,2.579,9701.82381516257,3.4,72.574,NA,19.1,0.1,1.00768005847931,NA
1990,"Colombia","COL",NA,2769.46109601041,66.1,NA,NA,3.082,8434.9569666236,NA,68.644,NA,35.6,0.1,NA,NA
1990,"Comoros","COM",NA,1083.22868903734,NA,NA,NA,6.497,2922.71225211885,NA,55.84,NA,126.5,0.1,NA,0.159740000963211
1990,"Congo, Dem. Rep.","COD",NA,NA,NA,NA,NA,6.702,1750.16973861537,NA,48.601,NA,186.3,1.8,NA,NA
1990,"Congo, Rep.","COG",NA,449.51839496864,NA,NA,NA,5.214,5080.05188941973,NA,55.926,NA,91.2,4.3,0.87975001335144,0.190170004963875
1990,"Costa Rica","CRI",NA,5335.23260785313,NA,NA,NA,3.205,9810.55078883924,3.8,76.63,NA,16.9,0.1,0.994769990444183,NA
1990,"Cote d'Ivoire","CIV",NA,NA,NA,NA,NA,6.73,4351.47678201907,NA,52.603,NA,153.4,4,NA,NA
1990,"Croatia","HRV",NA,NA,NA,NA,NA,1.63,NA,NA,72.1704878048781,NA,12.9,0.1,NA,NA
1990,"Cuba","CUB",NA,4727.33270106292,NA,NA,NA,1.804,NA,NA,74.039,NA,13.6,0.1,1.04846000671387,1.30165004730225
1990,"Curacao","CUW",NA,NA,NA,NA,NA,2.304,NA,NA,72.2503902439024,NA,NA,NA,NA,NA
1990,"Cyprus","CYP",NA,15214.775390625,NA,NA,NA,2.405,25232.025390625,NA,73.539,NA,11.3,0.1,1.01095998287201,NA
1990,"Czechia","CZE",NA,NA,NA,NA,NA,1.9,23585.1739009844,NA,71.3839024390244,NA,12.1,NA,0.941680014133453,0.787460029125214
1990,"Denmark","DNK",NA,30158.3967897493,NA,NA,NA,1.67,39027.9787365148,NA,74.8053658536585,NA,8.9,0.1,1.01412999629974,1.10514998435974
1990,"Djibouti","DJI",NA,NA,NA,NA,NA,5.982,NA,NA,55.498,NA,117.8,0.1,NA,NA
1990,"Dominica","DMA",NA,NA,NA,NA,NA,2.96,7855.8210423106,NA,69.852,NA,16.4,NA,1.01845002174377,NA
1990,"Dominican Republic","DOM",NA,2415.01777929918,NA,NA,NA,3.411,6207.11211279231,NA,67.11,NA,59.6,0.4,NA,NA
