"Country Name","Country Code","DFE","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
"Afghanistan","AFG",1.059290169,15.6950311948272,NA,14.12,0.539036879650045,2,7.29885,1432.63782556812,NA,54.48035,NA,132.415,0.1,0.469891674816608,0.300957500934601
"Angola","AGO",1.011764676,NA,1764.89444284636,11.4666666666667,NA,3.1,6.71585,5419.13206401692,4.3,47.5122,0.754170000553131,194.785,1.055,0.825213332970937,0.540349990129471
"Albania","ALB",5.269576993,29.1863451389118,2190.99484901506,65.5,45.9388082961143,4,2.25985,6149.49943146898,8.725,75.36045,1.00857269763946,27.62,0.1,0.987383523408105,1.21625149250031
"Argentina","ARG",0.167189951,42.1950490610095,8358.72577545128,NA,22.338095336173,NA,2.64835,18346.0986748092,3.77368421052632,73.8803,1.00452500581742,20.93,0.27,1.02793427024569,1.34737183830955
"Armenia","ARM",0.478231101,30.1190436756264,1761.17519711543,56.5333333333333,50.6374316788226,4.5,1.84055,5157.42445831464,8.35,70.5264,1.00054502487182,32.47,NA,1.01568002998829,1.23353099822998
"American Samoa","ASM",0.000261755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00321666399638,NA
"Australia","AUS",3.047098606,NA,NA,63.6,NA,NA,1.83245,37386.349130506,7.46,79.2502195121951,NA,6.555,0.1,1.0020320057869,1.07734250277281
"Austria","AUT",0.038152978,NA,32016.273475446,60.3,NA,NA,1.4155,44966.327051295,8.33571428571429,77.9621951219512,NA,6.14,NA,0.960855001211166,0.919843335946401
"Azerbaijan","AZE",1.105565067,NA,NA,53.8666666666667,NA,4,2.163675,6149.63990154524,9.51666666666667,64.87345,1.0000499933958,73.51,0.125,1.00443571805954,1.00808501243591
"Burundi","BDI",2.377411289,NA,150.300039534038,16.875,NA,3.8,6.9328,923.191162384995,7.3,48.2243,0.861293355623881,149.36,3.55,0.83458000421524,0.389999163647493
"Belgium","BEL",0.001692168,NA,30350.724760019,76.05,NA,NA,1.676,41793.164706176,8.69090909090909,77.8380243902439,NA,6.565,NA,1.05356499883864,1.10398763418198
"Benin","BEN",0.858274799,39.4935881074589,686.882293478367,17.3333333333333,6.62698090721438,3.3,6.0282,2381.94787842267,7,56.0758,0.532021827995777,139.565,1.21,0.653891662756602,0.253852141754968
"Burkina Faso","BFA",1.250036827,NA,378.402552410409,17.025,NA,3.5,6.52515,1267.37246067068,5.775,51.2764,0.62590499718984,174.015,2.115,0.757788170467723,0.352983748540282
